Date,Total
2014-01-01,15
2014-02-01,17
2014-03-01,26
2014-04-01,5
2014-05-01,0
2014-06-01,0
2014-07-01,0
2014-08-01,0
2014-09-01,208
2014-10-01,91
2014-11-01,108
2014-12-01,355
2015-01-01,41
2015-02-01,106
2015-03-01,17
2015-04-01,9
2015-05-01,0
2015-06-01,0
2015-07-01,0
2015-08-01,0
2015-09-01,38
2015-10-01,13
2015-11-01,23
2015-12-01,7
2016-01-01,44
2016-02-01,18
2016-03-01,25
2016-04-01,2
2016-05-01,0
2016-06-01,0
2016-07-01,0
2016-08-01,0
2016-09-01,28
2016-10-01,144
2016-11-01,525
2016-12-01,9
2017-01-01,13
2017-02-01,35
2017-03-01,78
2017-04-01,11
2017-05-01,0
2017-06-01,0
2017-07-01,0
2017-08-01,0
2017-09-01,394
2017-10-01,9
2017-11-01,311
2017-12-01,63
2018-01-01,53
2018-02-01,17
2018-03-01,36
2018-04-01,14
2018-05-01,1
2018-06-01,0
2018-07-01,0
2018-08-01,0
2018-09-01,317
2018-10-01,85
2018-11-01,3
2018-12-01,0
2019-01-01,13
2019-02-01,24
2019-03-01,9
2019-04-01,1
2019-05-01,0
2019-06-01,0
2019-07-01,0
2019-08-01,4
2019-09-01,21
2019-10-01,0
2019-11-01,51
2019-12-01,67
2020-01-01,22
2020-02-01,24
2020-03-01,0
2020-04-01,0
2020-05-01,0
2020-06-01,0
2020-07-01,0
2020-08-01,0
2020-09-01,44
2020-10-01,14
2020-11-01,39
2020-12-01,22
2021-01-01,69
2021-02-01,102
2021-03-01,88
2021-04-01,0
2021-05-01,0
2021-06-01,0
2021-07-01,0
2021-08-01,0
2021-09-01,30
2021-10-01,1
2021-11-01,12
2021-12-01,10
2022-01-01,1
2022-02-01,16
2022-03-01,2
2022-04-01,0
2022-05-01,0
2022-06-01,0
2022-07-01,0
2022-08-01,0
2022-09-01,64
2022-10-01,19
2022-11-01,8
2022-12-01,55
2023-01-01,190
2023-02-01,37
2023-03-01,20
2023-04-01,4
2023-05-01,3
2023-06-01,13
2023-07-01,1
2023-08-01,1
2023-09-01,3
2023-10-01,9
2023-11-01,9
2023-12-01,23
